0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:10:09:39 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1256
